id,name,city,country,IATA,ICAO,latitude,longitude,altitude,timezone,timezone_name,type,source
1352,Pontoise - Cormeilles-en-Vexin Airport,Pontoise,France,POX,LFPT,49.096667,2.040833,325,1,Europe/Paris,airport,OurAirports
1353,Villacoublay-Vélizy (BA 107) Air Base,Villacoublay,France,VIY,LFPV,48.7741667,2.1916667,584,1,Europe/Paris,airport,OurAirports
1354,Reims-Prunay Airport,Reims,France,\N,LFQA,49.20869827,4.156579971,313,1,Europe/Paris,airport,OurAirports
1355,Troyes-Barberey Airport,Troyes,France,\N,LFQB,48.322102,4.0167,388,1,Europe/Paris,airport,OurAirports
1356,Lunéville-Croismare Airport,Luneville,France,\N,LFQC,48.59329987,6.543459892,790,1,Europe/Paris,airport,OurAirports
1357,Étain-Rouvres Air Base,Etain,France,\N,LFQE,49.22689819,5.67222023,770,1,Europe/Paris,airport,OurAirports
1358,Autun-Bellevue Airport,Autun,France,\N,LFQF,46.96730042,4.260570049,997,1,Europe/Paris,airport,OurAirports
1359,Nevers-Fourchambault Airport,Nevers,France,NVS,LFQG,47.00260162,3.113329887,602,1,Europe/Paris,airport,OurAirports
1360,Cambrai-Épinoy (BA 103) Air Base,Cambrai,France,\N,LFQI,50.221802,3.15424,257,1,Europe/Paris,airport,OurAirports
1361,Maubeuge-Élesmes Airport,Maubeuge,France,XME,LFQJ,50.3105011,4.033120155,452,1,Europe/Paris,airport,OurAirports
1362,Besançon-La Vèze Airport,Besancon-la-veze,France,\N,LFQM,47.2066,6.083681,1271,1,Europe/Paris,airport,OurAirports
1363,Phalsbourg-Bourscheid Air Base,Phalsbourg,France,\N,LFQP,48.7680556,7.205,1017,1,Europe/Paris,airport,OurAirports
1364,Lille-Lesquin Airport,Lille,France,LIL,LFQQ,50.563332,3.086886,157,1,Europe/Paris,airport,OurAirports
1365,Merville-Calonne Airport,Merville,France,HZB,LFQT,50.61840057,2.642240047,61,1,Europe/Paris,airport,OurAirports
1366,Charleville-Mézières Airport,Charleville,France,XCZ,LFQV,49.78390121,4.647079945,492,1,Europe/Paris,airport,OurAirports
1367,Vesoul-Frotey Airport,Vesoul-frotey,France,\N,LFQW,47.6376,6.20392,1249,1,Europe/Paris,airport,OurAirports
1368,Brest Bretagne Airport,Brest,France,BES,LFRB,48.44789886,-4.418540001,325,1,Europe/Paris,airport,OurAirports
1369,Cherbourg-Maupertus Airport,Cherbourg,France,CER,LFRC,49.65010071,-1.470280051,459,1,Europe/Paris,airport,OurAirports
1370,Dinard-Pleurtuit-Saint-Malo Airport,Dinard,France,DNR,LFRD,48.58769989,-2.079960108,219,1,Europe/Paris,airport,OurAirports
1371,La Baule-Escoublac Airport,La Baule,France,LBY,LFRE,47.28939819,-2.346390009,105,1,Europe/Paris,airport,OurAirports
1372,Granville Airport,Granville,France,GFR,LFRF,48.8830986,-1.564170003,45,1,Europe/Paris,airport,OurAirports
1373,Deauville-Saint-Gatien Airport,Deauville,France,DOL,LFRG,49.36529922,0.154305995,479,1,Europe/Paris,airport,OurAirports
1374,Lorient South Brittany (Bretagne Sud) Airport,Lorient,France,LRT,LFRH,47.76060104,-3.440000057,160,1,Europe/Paris,airport,OurAirports
1375,La Roche-sur-Yon Airport,La Roche-sur-yon,France,EDM,LFRI,46.70190048,-1.378630042,299,1,Europe/Paris,airport,OurAirports
1376,Landivisiau Air Base,Landivisiau,France,LDV,LFRJ,48.53030014,-4.151639938,348,1,Europe/Paris,airport,OurAirports
1377,Caen-Carpiquet Airport,Caen,France,CFR,LFRK,49.1733017,-0.449999988,256,1,Europe/Paris,airport,OurAirports
1378,Lanvéoc-Poulmic Air Base,Lanvedoc,France,\N,LFRL,48.28170013,-4.445020199,287,1,Europe/Paris,airport,OurAirports
1379,Le Mans-Arnage Airport,Le Mans,France,LME,LFRM,47.94860077,0.201666996,194,1,Europe/Paris,airport,OurAirports
1380,Rennes-Saint-Jacques Airport,Rennes,France,RNS,LFRN,48.06949997,-1.734789968,124,1,Europe/Paris,airport,OurAirports
1381,Lannion-Côte de Granit Airport,Lannion,France,LAI,LFRO,48.754398,-3.47166,290,1,Europe/Paris,airport,OurAirports
1382,Quimper-Cornouaille Airport,Quimper,France,UIP,LFRQ,47.97499847,-4.167789936,297,1,Europe/Paris,airport,OurAirports
1383,Nantes Atlantique Airport,Nantes,France,NTE,LFRS,47.15319824,-1.610730052,90,1,Europe/Paris,airport,OurAirports
1384,Saint-Brieuc-Armor Airport,St.-brieuc Armor,France,SBK,LFRT,48.5378,-2.85444,453,1,Europe/Paris,airport,OurAirports
1385,Morlaix-Ploujean Airport,Morlaix,France,MXN,LFRU,48.60319901,-3.815779924,272,1,Europe/Paris,airport,OurAirports
1386,Vannes-Meucon Airport,Vannes,France,VNE,LFRV,47.72330093,-2.71855998,446,1,Europe/Paris,airport,OurAirports
1387,Saint-Nazaire-Montoir Airport,St.-nazaire,France,SNR,LFRZ,47.3105556,-2.1566667,13,1,Europe/Paris,airport,OurAirports
1388,EuroAirport Basel-Mulhouse-Freiburg Airport,Mulhouse,France,BSL,LFSB,47.59,7.5291667,885,1,Europe/Paris,airport,OurAirports
1389,Colmar-Meyenheim Air Base,Colmar,France,\N,LFSC,47.92200089,7.399670124,693,1,Europe/Paris,airport,OurAirports
1390,Dijon-Bourgogne Airport,Dijon,France,DIJ,LFSD,47.268902,5.09,726,1,Europe/Paris,airport,OurAirports
1391,Metz-Frescaty (BA 128) Air Base,Metz,France,MZM,LFSF,49.07170105,6.131669998,629,1,Europe/Paris,airport,OurAirports
1392,Épinal-Mirecourt Airport,Epinal,France,EPL,LFSG,48.325001,6.06998,1084,1,Europe/Paris,airport,OurAirports
1393,Haguenau Airport,Haguenau,France,\N,LFSH,48.79430008,7.817609787,491,1,Europe/Paris,airport,OurAirports
1394,Saint-Dizier-Robinson (BA 113) Air Base,St.-dizier,France,\N,LFSI,48.63600159,4.899419785,458,1,Europe/Paris,airport,OurAirports
1395,Montbéliard-Courcelles Airfield,Montbeliard,France,\N,LFSM,47.487,6.79054,1041,1,Europe/Paris,airport,OurAirports
1396,Nancy-Essey Airport,Nancy,France,ENC,LFSN,48.69210052,6.230460167,751,1,Europe/Paris,airport,OurAirports
1397,Nancy-Ochey (BA 133) Air Base,Nancy,France,\N,LFSO,48.58309937,5.954999924,1106,1,Europe/Paris,airport,OurAirports
1398,Pontarlier Airport,Pontarlier,France,\N,LFSP,46.90399933,6.327370167,2683,1,Europe/Paris,airport,OurAirports
1399,Reims-Champagne (BA 112) Air Base,Reims,France,RHE,LFSR,49.310001,4.05,312,1,Europe/Paris,airport,OurAirports
1400,Strasbourg Airport,Strasbourg,France,SXB,LFST,48.53829956,7.628230095,505,1,Europe/Paris,airport,OurAirports
